회차,순번,당첨등수,당첨유형,당첨유형코드,판매점명,판매점ID,전화번호,운영코드,시도,시군구,상세주소,전체주소,위도,경도,로또645판매,연금복권판매,스피또1000판매,스피또2000판매,신규연금복권판매
264,11,2,,N,복권명당,12700045,053-742-4021,1,대구,수성구,수성동1가,대구 수성구 수성동1가  217-4,35.855682,128.61344,Y,N,Y,Y,Y
264,12,2,,N,복권명당,12700045,053-742-4021,1,대구,수성구,수성동1가,대구 수성구 수성동1가  217-4,35.855682,128.61344,Y,N,Y,Y,Y
264,14,2,,N,인천네트워크,12890070,032-446-6411,1,인천,남동구,도림동,인천 남동구 도림동  248-5 12블록5롯트 102,37.419807,126.72992,Y,N,Y,Y,Y
264,15,2,,N,베로나로또,12910077,062-654-0613,1,광주,남구,진월동,광주 남구 진월동  291-4,35.122818,126.91366,Y,N,Y,Y,Y
264,16,2,,N,목동행운복권방,13000170,042-223-8009,3,대전,중구,목동,대전 중구 목동  5-15번지,36.333656,127.411976,N,N,N,N,N
264,17,2,,N,GS25(신갈주공),24100327,031-275-0961,3,경기,용인시,기흥읍,경기 용인시 기흥읍 신갈리 신갈리 712 예림프라자 104,37.289072,127.111624,Y,N,N,N,N
264,18,2,,N,포유25다농점,14100435,031-375-2468,3,경기,오산시,오산동,경기 오산시 오산동  924-1 거성그린프라자 114,37.149663,127.075403,Y,N,N,N,N
264,20,2,,N,로또복권방,14110527,031-311-1066,3,경기,시흥시,대야동,경기 시흥시 대야동  568-2 AC 빌딩 101,37.447242,126.791812,N,N,Y,Y,N
264,21,2,,N,대박로또판매점,14110067,031-297-7577,3,경기,수원시,장안구,경기 수원시 장안구 율전동 율전동 291  1층 3호,37.298719,126.97125,N,Y,Y,Y,Y
264,22,2,,N,대박나라,14190192,032-673-0087,3,경기,부천시,오정구,경기 부천시 오정구 원종동 원종동 280-1 106호,37.523879,126.805217,Y,N,N,N,N
264,23,2,,N,훼미리마트(군포덕산),24100214,031-399-3949,3,경기,군포시,당동,경기 군포시 당동  902 덕산상가 1층,37.348972,126.945221,N,N,Y,Y,Y
264,25,2,,N,데이앤나잇,14100458,031-924-2865,1,경기,고양시,덕양구,경기 고양시 덕양구 주교동 주교동 578-2,37.649616,126.87553,Y,N,Y,Y,Y
264,26,2,,N,복권나라,14290013,033-745-8335,1,강원,원주시,태장동,강원 원주시 태장동  1367-2,37.385082,127.94791,Y,N,N,N,N
264,27,2,,N,로또복권,14310039,043-250-4007,3,충북,청주시,상당구,충북 청주시 상당구 율량동 사천동 412-6 1+24편의점,36.660949,127.47641,N,N,Y,Y,Y
264,28,2,,N,오창중앙복권,14310034,043-215-0645,1,충북,청원군,오창읍,충북 청원군 오창읍 양청리 양청리 793-5     204호,36.715075,127.428939,Y,N,Y,Y,Y
264,29,2,,N,대박나라복권방,14410010,041-542-8973,1,충남,아산시,신창면,충남 아산시 신창면 읍내리 읍내리 292-2,36.777366,126.93444,Y,Y,Y,Y,Y
264,30,2,,N,사랑슈퍼,14500097,063-856-3537,3,전북,익산시,남중동,전북 익산시 남중동  36-47,35.95013,126.957537,Y,N,N,N,N
264,31,2,,N,모현로또방,14500142,063-853-0047,1,전북,익산시,모현동1가,전북 익산시 모현동1가  297-42,35.946841,126.94358,Y,N,Y,Y,Y
264,32,2,,N,일레분문수점,14610003,061-652-3195,3,전남,여수시,문수동,전남 여수시 문수동  191,34.724235,127.70812,Y,N,N,N,N
264,34,2,,N,다원마트,14710111,054-436-1143,1,경북,김천시,지좌동,경북 김천시 지좌동  440-159,36.119242,128.14355,Y,Y,Y,Y,Y
265,2,1,자동,Q,가로판매(버스카드),11190138,02-2638-0110,1,서울,영등포구,영등포동4가,서울 영등포구 영등포동4가  66,37.521465,126.92499,Y,Y,Y,Y,Y
265,4,1,자동,Q,세종장식,11101469,02-2696-4536,1,서울,양천구,신정4동,서울 양천구 신정4동  987-7호,37.525385,126.86006,Y,N,Y,Y,Y
265,8,1,자동,Q,교통카드판매대,11101176,02-875-4764,3,서울,관악구,신림9동,서울 관악구 신림9동  240-4,37.470344,126.93811,N,Y,Y,Y,Y
265,9,1,자동,Q,한미복권방,11101573,02-474-5355,3,서울,강동구,성내1동,서울 강동구 성내1동  550,37.529194,127.123808,N,Y,Y,Y,Y
265,18,1,자동,Q,태흥금방,14100751,,1,경기,의정부시,가능동,경기 의정부시 가능동  668-10,37.743549,127.03501,Y,Y,Y,Y,Y
265,20,1,자동,Q,동아슈퍼마켓,14100386,031-494-1772,3,경기,안산시,단원구,경기 안산시 단원구 원곡동 748-6,37.331136,126.793143,Y,N,N,N,N
265,24,1,자동,Q,승일유통,14300042,043-272-6569,1,충북,청주시,흥덕구,충북 청주시 흥덕구 봉명동 봉명동 200-14번지,36.638314,127.45376,Y,N,Y,Y,Y
265,27,1,자동,Q,에버빌마트,14710088,,1,경북,안동시,정하동,경북 안동시 정하동  240-2,36.550444,128.73057,Y,N,Y,Y,Y
265,1,2,,N,제일식품,11100572,02-434-1747,3,서울,중랑구,상봉동,서울 중랑구 상봉동  108,37.594752,127.085657,N,N,Y,Y,Y
265,3,2,,N,데스콤㈜영등포영업소,11190001,02-2631-1322,1,서울,영등포구,영등포동5가,서울 영등포구 영등포동5가  25번지,37.520576,126.9052,Y,Y,Y,Y,Y
265,5,2,,N,이대역4번출구 앞가판,11110089,02-392-2578,1,서울,서대문구,대현동,서울 서대문구 대현동  45-71,37.55704,126.94668,Y,N,Y,Y,Y
265,6,2,,N,B형5호가로판매점,11101137,02-826-7146,3,서울,동작구,노량진동,서울 동작구 노량진동  67-10,37.51392,126.94316,N,N,Y,Y,Y
265,7,2,,N,로또복권,11110075,,1,서울,광진구,중곡동,서울 광진구 중곡동  244-1,37.562826,127.08024,Y,N,Y,N,Y
265,10,2,,N,경일식품,11100646,02-486-0430,3,서울,강동구,둔촌동,서울 강동구 둔촌동  87-7,37.530197,127.142912,Y,N,N,N,N
265,11,2,,N,GS25(서면제일),22600102,051-818-2478,3,부산,부산진구,부전동,부산 부산진구 부전동  220-1,35.153899,129.06163,N,N,Y,Y,N
265,12,2,,N,민사로또판매점,12600318,,1,부산,금정구,부곡동,부산 금정구 부곡동  223-1,35.256517,129.09012,Y,N,N,N,N
265,13,2,,N,왕대박(복권방),12790034,053-423-1011,1,대구,북구,칠성동2가,대구 북구 칠성동2가  498-2   1층 전체,35.877689,128.59616,Y,Y,Y,Y,Y
265,14,2,,N,로또나라,12910085,062-514-8114,3,광주,북구,용봉동,광주 북구 용봉동  1378-1,35.179016,126.894892,N,Y,Y,Y,Y
265,15,2,,N,형제기획  복권시대,12990011,062-228-4872,3,광주,동구,금남로5가,광주 동구 금남로5가  99-8번지,35.151288,126.914127,N,N,Y,Y,Y
265,16,2,,N,복권세상,12990014,062-956-1888,1,광주,광산구,도산동,광주 광산구 도산동  774-4,35.176226,126.79855,Y,N,Y,Y,Y
265,17,2,,N,공항서점,13190032,052-289-4503,1,울산,북구,송정동,울산 북구 송정동  522,35.558325,129.36018,Y,N,Y,Y,Y
265,19,2,,N,가두 판매소,14110258,031-422-1037,3,경기,안양시,동안구,경기 안양시 동안구 관양동 관양동 1446-2,37.403249,126.960207,Y,N,N,N,N
265,21,2,,N,미니슈퍼,14100401,031-273-4242,1,경기,수원시,영통구,경기 수원시 영통구 영통동 영통동 1024-7 영통빌딩 1080,37.247971,127.07709,Y,Y,Y,Y,Y
265,22,2,,N,드림복권방,14100689,031-575-5883,1,경기,남양주시,와부읍,경기 남양주시 와부읍 덕소리 덕소리 481-7,37.647554,127.12373,Y,Y,Y,Y,Y
265,23,2,,N,청솔로또,14210083,033-641-1813,3,강원,강릉시,성남동,강원 강릉시 성남동  100-1,37.752378,128.89718,Y,N,N,N,N
265,25,2,,N,로또복권방,14510008,063-833-8766,1,전북,익산시,부송동,전북 익산시 부송동  1042-17,35.954008,126.9932,Y,N,N,N,N
265,26,2,,N,영화마을 흥해점,14700165,054-261-3158,1,경북,포항시,북구,경북 포항시 북구 흥해읍 흥해읍 249,36.107961,129.34514,Y,Y,Y,Y,Y
266,8,1,자동,Q,라스정보통신,11101264,02-996-0365,3,서울,강북구,수유동,서울 강북구 수유동  256-22  미니스톱내,37.646266,127.008162,Y,N,N,N,N
266,9,1,수동,M,안목마트,11190153,02-907-0910,1,서울,강북구,번동,서울 강북구 번동  463-33,37.639298,127.02813,Y,N,Y,Y,Y
266,30,1,자동,Q,월드컵복권방,14100834,031-797-1515,1,경기,광주시,경안동,경기 광주시 경안동  30-2,37.409901,127.25841,Y,N,Y,Y,Y
266,1,2,,N,신문가판대,11100924,,1,서울,중구,남대문로5가,서울 중구 남대문로5가  84,37.557704,126.97282,Y,N,N,N,N
266,2,2,,N,충남상회,11100305,02-2252-5611,1,서울,중구,황학동,서울 중구 황학동  1362,37.570168,127.01839,Y,N,Y,Y,Y
266,3,2,,N,노다지,11190092,02-909-6668,3,서울,성북구,하월곡동,서울 성북구 하월곡동  79-19,37.610488,127.03513,N,N,N,N,N
266,4,2,,N,양재10호점,11110327,,3,서울,서초구,서초동,서울 서초구 서초동  61-1 세븐일레븐,37.504354,127.003597,Y,N,N,N,N
266,5,2,,N,-,11100944,02-938-3788,3,서울,노원구,상계1동,서울 노원구 상계1동  1132-102,37.677563,127.055543,N,Y,Y,Y,Y
266,6,2,,N,현진식품,11100330,02-2614-8986,3,서울,구로구,고척1동,서울 구로구 고척1동  52-346,37.500774,126.863861,Y,N,N,N,N
266,7,2,,N,고경식품,11110229,02-2612-0584,1,서울,구로구,고척동,서울 구로구 고척동  72-28,37.496822,126.86249,Y,N,Y,Y,Y
266,10,2,,N,노다지 복권방,12600017,051-543-2852,1,부산,해운대구,반송2동,부산 해운대구 반송2동  186-5,35.229143,129.1601,Y,Y,Y,Y,Y
266,11,2,,N,복권뱅크,12700007,053-563-6023,3,대구,서구,평리동,대구 서구 평리동  622-8,35.87493,128.550832,Y,N,N,N,N
266,12,2,,N,행운마트,12800131,032-429-3278,1,인천,부평구,십정동,인천 부평구 십정동  355-18,37.471799,126.69536,Y,N,Y,Y,Y
266,13,2,,N,인천네트워크,12890070,032-446-6411,1,인천,남동구,도림동,인천 남동구 도림동  248-5 12블록5롯트 102,37.419807,126.72992,Y,N,Y,Y,Y
266,14,2,,N,해피데이,12810139,032-432-3291,3,인천,남동구,간석동,인천 남동구 간석동  205-1 희망백화점 B-206,37.460944,126.708838,Y,N,N,N,N
266,15,2,,N,우리동네,12810087,032-553-7664,3,인천,계양구,작전동,인천 계양구 작전동  912-4 동남롯데상가 105,37.536409,126.742534,N,N,Y,Y,Y
266,16,2,,N,대한민국마트,13000096,042-862-1888,1,대전,유성구,전민동,대전 유성구 전민동  458-9 1F,36.396687,127.40249,Y,N,Y,Y,Y
266,17,2,,N,천하명당(염포점),13190034,052-287-3962,1,울산,북구,염포동,울산 북구 염포동  208-7,35.53486,129.38978,Y,N,Y,Y,Y
266,18,2,,N,명성복권방,14190168,031-232-9411,1,경기,화성시,태안읍,경기 화성시 태안읍 진안리 진안리 525-58,37.208512,127.03427,Y,Y,Y,Y,Y
266,19,2,,N,대박행진 복권랜드,14100741,031-948-6737,1,경기,파주시,금촌동,경기 파주시 금촌동  금촌2택지사업지구 상업용지16호 금촌프라자 107,37.751653,126.76692,Y,Y,Y,Y,Y
266,20,2,,N,GS25(이천현대),24100136,031-634-6551,3,경기,이천시,대월면,경기 이천시 대월면 대흥리 대흥리 산1-6203호,37.249588,127.474923,N,Y,Y,Y,Y
266,21,2,,N,백사행운마트,14110125,031-632-6877,3,경기,이천시,백사면,경기 이천시 백사면 송말리 송말리 98-3번지,37.170613,127.480262,Y,N,N,N,N
266,22,2,,N,터미널식품,14100388,031-845-3983,1,경기,의정부시,금오동,경기 의정부시 금오동  369-5,37.745207,127.05509,Y,N,Y,Y,Y
266,23,2,,N,J 마트,14100371,031-468-7373,1,경기,안양시,만안구,경기 안양시 만안구 안양6동 안양6동 504-22,37.38734,126.93061,Y,N,Y,Y,Y
266,24,2,,N,천하명당복권방,14190001,031-674-8267,1,경기,안성시,영동,경기 안성시 영동  428,37.0066,127.27375,Y,Y,Y,Y,Y
266,25,2,,N,복권명당,14190119,031-501-9585,1,경기,안산시,상록구,경기 안산시 상록구 건건동 건건동 646-3,37.305021,126.90202,Y,N,Y,Y,Y
266,26,2,,N,복권명가,14190080,031-743-6036,1,경기,성남시,중원구,경기 성남시 중원구 상대원동 상대원동 2318 1층,37.441016,127.163598,Y,N,Y,Y,Y
266,27,2,,N,일등복권방,14110030,032-679-1494,1,경기,부천시,오정구,경기 부천시 오정구 작동 작동 32 영미빌딩,37.518847,126.8151,Y,N,Y,Y,Y
266,28,2,,N,명당복권방,14110369,031-591-1116,1,경기,남양주시,화도읍,경기 남양주시 화도읍 창현리 창현리 472-7,37.650239,127.30629,Y,Y,Y,Y,Y
266,29,2,,N,화인,14100710,031-551-3451,3,경기,구리시,교문동,경기 구리시 교문동  256-9,37.595354,127.140571,Y,N,N,N,N
266,31,2,,N,로토피아,14100829,02-899-0789,1,경기,광명시,소하동,경기 광명시 소하동  932-4 상가1층 102,37.435593,126.87926,Y,Y,Y,Y,Y
266,32,2,,N,해수로또,14310037,043-221-0479,1,충북,청주시,상당구,충북 청주시 상당구 금천동 금천동 261-50,36.62615,127.499379,Y,N,Y,Y,Y
266,33,2,,N,천하명당복권방,14690011,061-743-5580,1,전남,순천시,연향동,전남 순천시 연향동  1346 1층,34.945482,127.48772,Y,N,Y,Y,Y
266,34,2,,N,천하명당복권방,14690022,061-752-1500,3,전남,순천시,해룡면,전남 순천시 해룡면 상삼리 상삼리 622-7,34.98644,127.501522,Y,N,N,N,N
266,35,2,,N,복권방(상동1호점),14690018,061-277-4980,1,전남,목포시,상동,전남 목포시 상동  748-5,34.81368,126.41479,Y,N,Y,Y,Y
266,36,2,,N,로또복권,14710071,,3,경북,구미시,황상동,경북 구미시 황상동  633-33,36.11576,128.34741,N,Y,Y,N,N
266,37,2,,N,수산로또점,14810121,055-391-6600,1,경남,밀양시,하남읍,경남 밀양시 하남읍 양동리 양동리 614-18,35.374921,128.716417,Y,Y,Y,Y,Y
266,38,2,,N,경일통신,14800170,055-251-6500,1,경남,마산시,회성동,경남 마산시 회성동  169-1,35.233815,128.5606,Y,N,Y,Y,Y
266,39,2,,N,안경이야기,14810157,055-251-2645,3,경남,마산시,내서읍,경남 마산시 내서읍 삼계리 삼계리 507-1 숲속아파트 주공5단지상가 103 호서원탑훼미리,35.228874,128.496447,N,N,N,N,N
267,19,1,자동,Q,대박예감,14190250,031-205-2729,1,경기,화성시,태안읍,경기 화성시 태안읍 반월리 반월리 30,37.233971,127.06398,Y,N,Y,Y,Y
267,27,1,자동,Q,GS25(천안성정),24400008,041-577-4408,3,충남,천안시,성정동,충남 천안시 성정동  193-17번지,36.790472,127.117039,N,Y,Y,Y,Y
267,29,1,자동,Q,로또 코리아북삼점,14710097,054-972-4598,3,경북,칠곡군,북삼읍,경북 칠곡군 북삼읍 인평리 인평리 1094-1,35.967586,128.417848,Y,N,N,N,N
267,1,2,,N,수연식품,11100057,02-492-2476,1,서울,중랑구,면목동,서울 중랑구 면목동  458-120,37.582288,127.08939,Y,N,Y,Y,Y
267,2,2,,N,쌍둥이슈퍼,11100568,02-977-8968,3,서울,중랑구,묵동,서울 중랑구 묵동  235-19 1층 일부,37.613829,127.07516,N,N,Y,Y,Y
267,3,2,,N,로또복권방,11110385,02-353-4141,1,서울,은평구,갈현동,서울 은평구 갈현동  424-26외1필지 가호내제1층점포1동,37.623964,126.91715,Y,Y,Y,Y,Y
267,4,2,,N,가로판매점,11101052,02-717-5523,1,서울,용산구,원효로2가,서울 용산구 원효로2가  94-2,37.535027,126.96148,Y,N,Y,Y,Y
